X (m),Y (m),Z (m),t (s)
0.0,0.0,0.0,0.0
1.4823906640978978e-08,0.0,3.64492418022596e-12,0.2
4.447171992299031e-08,3.5355764548320176e-15,1.0934699642207401e-11,0.2
7.786998158690206e-05,6.252702316333988e-10,1.9133894549454855e-08,10.2
0.00030393455781753935,4.856824910553455e-09,7.463173973692926e-08,20.200000000000003
0.0006782382002133082,1.6230244018473003e-08,1.66431571729826e-07,30.200000000000003
0.0012007809084105625,3.8281103984371584e-08,2.944604919556592e-07,40.2
0.001871562681880535,7.454498121035541e-08,4.586456018018974e-07,50.2
0.002690583519929339,1.2855745206194066e-07,6.589140026161638e-07,60.2
0.0036578434216979665,2.0385409285833677e-07,8.951927957064357e-07,70.19999999999999
0.004773342386162295,3.0397047986273e-07,1.1674090823412452e-06,80.19999999999999
0.006037080412133072,4.3244218927256623e-07,1.4754899637498817e-06,90.19999999999999
0.007449057498255933,5.928047972098359e-07,1.8193625411225888e-06,100.19999999999999
0.009009273643011396,7.885938797113554e-07,2.198953915610767e-06,110.19999999999999
0.010717728844714846,1.0233450127190514e-06,2.6141911883271738e-06,120.19999999999999
0.01257442310151656,1.300593772070243e-06,3.065001460346123e-06,130.2
0.01457935641140169,1.6238757334879312e-06,3.5513118327036844e-06,140.2
0.016732528772190274,1.9967264725710715e-06,4.0730494063978875e-06,150.2
0.019033940181537236,2.4226815647848677e-06,4.63014128238892e-06,160.2
0.021483590636932334,2.905276585451045e-06,5.222514561599319e-06,170.2
0.02408148013570023,3.4480471097381447e-06,5.8500963449142e-06,180.2
0.02682760867500053,4.054528712651799e-06,6.512813733181414e-06,190.2
0.029721976251827646,4.7282569690250215e-06,7.210593827211789e-06,200.2
0.032764582863010885,5.4727674535084814e-06,7.943363727779307e-06,210.2
0.035955428505214444,6.291595740560796e-06,8.7110505356213e-06,220.2
0.039294513174937394,7.188277404438802e-06,9.513581351438674e-06,230.2
0.04278183686851368,8.166348019187854e-06,1.0350883275896095e-05,240.2
0.04641739958211213,9.229343158632114e-06,1.1222883409622185e-05,250.2
0.05020120131173648,1.0380798396364799e-05,1.2129508853209737e-05,260.20000000000005
0.054133242053225304,1.1624249305738501e-05,1.3070686707215882e-05,270.20000000000005
0.058213521802252095,1.296323145985544e-05,1.4046344072162337e-05,280.20000000000005
0.06244204055432521,1.4401280431557777e-05,1.5056408048535576e-05,290.20000000000005
0.06681879830478776,1.5941931793417885e-05,1.610080573678702e-05,300.20000000000005
0.07134379504881808,1.7588721117728622e-05,1.7179464237333264e-05,310.20000000000005
0.07601703078142909,1.934518397649365e-05,1.8292310650556294e-05,320.20000000000005
0.0808385054974686,2.1214855941417662e-05,1.94392720768036e-05,330.20000000000005
0.08580821919161939,2.3201272583896712e-05,2.06202756163885e-05,340.20000000000005
0.0909261718583991,2.5307969475008468e-05,2.183524836959023e-05,350.20000000000005
0.09619236349216023,2.7538482185502558e-05,2.3084117436654196e-05,360.20000000000005
0.10160679408709028,2.989634628579072e-05,2.4366809917792233e-05,370.20000000000005
0.10716946363721133,3.2385097345937235e-05,2.568325291318262e-05,380.20000000000005
0.11288037213638073,3.500827093564913e-05,2.7033373522970516e-05,390.20000000000005
0.11873951957829039,3.776940262426647e-05,2.841709884726796e-05,400.20000000000005
0.12474690595646729,4.0672027980752683e-05,2.9834355986154247e-05,410.20000000000005
0.1309025312642732,4.3719682573684775e-05,3.1285072039675965e-05,420.20000000000005
0.13720639549490476,4.691590197124362e-05,3.2769174107847305e-05,430.20000000000005
0.14365849864139368,5.0264221741204295e-05,3.428658929065024e-05,440.20000000000005
0.1502588406966063,5.376817745092643e-05,3.583724468803464e-05,450.20000000000005
0.15700742165324405,5.743130466734424e-05,3.742106739991863e-05,460.20000000000005
0.16390424150384292,6.12571389569571e-05,3.9037984526188635e-05,470.20000000000005
0.170949300240774,6.524921588581965e-05,4.068792316669964e-05,480.20000000000005
0.17814259785624342,6.94110710195321e-05,4.23708104212755e-05,490.20000000000005
0.18548413434229197,7.37462399232305e-05,4.408657338970895e-05,500.20000000000005
0.1929739096907954,7.825825816157723e-05,4.583513917176195e-05,510.20000000000005
0.20061192389346424,8.295066129875101e-05,4.7616434867165796e-05,520.2
0.20839817694184407,8.782698489843724e-05,4.943038757562135e-05,530.2
0.21633266882731514,9.289076452381853e-05,5.1276924396799234e-05,540.2
0.22441539954109296,9.814553573756453e-05,5.3155972430340084e-05,550.2
0.23264636907422742,0.00010359483410182259,5.506745877585472e-05,560.2
0.24102557741760355,0.00010924219517820789,5.701131053292423e-05,570.2
0.24955302456194145,0.00011509115452779388,5.898745480110042e-05,580.2
0.2582287104977957,0.00012114524771110231,6.09958186799058e-05,590.2
0.26705263521555594,0.00012740801028809367,6.303632926883384e-05,600.2
0.27602479870544694,0.00013388297781815752,6.510891366734907e-05,610.2
0.2851452009575277,0.0001405736858601027,6.721349897488766e-05,620.2
0.29441384196169273,0.00014748366997214735,6.935001229085711e-05,630.2
0.30383072170767106,0.00015461646571190982,7.151838071463686e-05,640.2
0.3133958401850271,0.00016197560863639838,7.371853134557819e-05,650.2
0.32310919738315963,0.00016956463430200193,7.59503912830047e-05,660.2
0.33297079329130275,0.0001773870782644797,7.821388762621231e-05,670.2
0.34298062789852446,0.0001854464760789522,8.05089474744695e-05,680.2
0.3531387011937289,0.00019374636329989119,8.283549792701748e-05,690.2
0.36344501316565453,0.0002022902754811098,8.519346608307042e-05,700.2
0.3738995638028745,0.00021108174817575337,8.758277904181579e-05,710.2
0.38450235309379666,0.00022012431693628896,9.000336390241448e-05,720.2
0.395253381026665,0.00022942151731449598,9.24551477640007e-05,730.2
0.4061526475895572,0.0002389768848614568,9.493805772568257e-05,740.2
0.4172001527703859,0.0002487939551275468,9.745202088654231e-05,750.2
0.4283958965568992,0.00025887626366242426,9.999696434563619e-05,760.2
0.43973987893667926,0.0002692273460150216,0.0001025728152019949,770.2
0.45123209989714413,0.0002798507377335344,0.00010517950055462369,780.2
0.46287255942554617,0.00029074997436541255,0.00010781694750250256,790.2
0.4746612575089722,0.0003019285914573508,0.00011048508314458652,800.2
0.48659819413434474,0.0003133901245552778,0.00011318383457980583,810.2
0.49868336928842066,0.0003251381092043475,0.00011591312890706609,820.2
0.5109167829577926,0.0003371760809489294,0.00011867289322524837,830.2
0.5232984351288863,0.00034950757533259774,0.0001214630546332096,840.2
0.535828325787964,0.0003621361278981236,0.0001242835402297827,850.2
0.5485064549211223,0.0003750652741874632,0.00012713427711377688,860.2
0.5613328225142921,0.00038829854974174933,0.00013001519238397757,870.2
0.5743074285532406,0.00040183949010128207,0.00013292621313914694,880.2
0.5874302730235684,0.0004156916308055181,0.00013586726647802378,890.2
0.6007013559107127,0.000429858507393061,0.0001388382794993239,900.2
0.6141206771999436,0.000444343655401652,0.00014183917930174036,910.2
0.6276882368763663,0.00045915061036816055,0.00014486989298394354,920.2
0.6414040349249233,0.0004742829078285734,0.00014793034764458147,930.2
0.6552680713303886,0.000489744083317986,0.0001510204703822798,940.2
0.6692803460773734,0.0005055376723705933,0.00015414018829564263,950.2
0.6834408591503238,0.0005216672105196777,0.00015728942848325145,960.2
0.6977496105335195,0.0005381362332976012,0.0001604681180436669,970.2
0.7122066002110752,0.0005549482762357965,0.0001636761840754278,980.2
0.7268118281669423,0.0005721068748647547,0.00016691355367705189,990.2
